,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
0,1,Dhirendra Pratap Singh alias Rinku singh,Janata Dal (United),74777,129,74906,38.32,1
1,2,Baidyanath Prasad,Bahujan Samaj Party,14475,23,14498,7.42,1
2,3,Mahendra Kumar Bharti,Lok Jan Shakti Party,6602,10,6612,3.38,1
3,4,Rajesh Singh,Indian National Congress,52952,369,53321,27.28,1
4,5,Gaurav Jha,The Plurals Party,2862,1,2863,1.46,1
5,6,Deepak Kumar Malakar,Bhartiya Party (Loktantrik),4279,0,4279,2.19,1
6,7,Saket Kumar Pathak,"Jan Sangharsh Dal,",2733,2,2735,1.4,1
7,8,Sumant Kumar,Jan Adhikar Party (Loktantrik),18372,37,18409,9.42,1
8,9,Kumari Rajwanti Kushwaha,Independent,1992,4,1996,1.02,1
9,10,Tirthraj Yadav,Independent,2512,3,2515,1.29,1
10,11,Mahmad Jalil,Independent,2655,2,2657,1.36,1
11,12,Rajesh Kumar,Independent,2607,1,2608,1.33,1
12,13,NOTA,None of the Above,8088,2,8090,4.14,1
0,1,Bhagirathi Devi,Bharatiya Janata Party,75360,63,75423,39.57,2
1,2,Rajesh Ram,Indian National Congress,59273,354,59627,31.28,2
2,3,Lokesh Ram,Rashtriya Lok Samta Party,4048,3,4051,2.13,2
3,4,Champa Devi,The Plurals Party,1409,3,1412,0.74,2
4,5,Lorik Das,Fauji Kisan Party,4329,2,4331,2.27,2
5,6,Vinay Ram,Janta Dal Rashtravadi,3213,2,3215,1.69,2
6,7,Subodh Kumar,Bhartiya Panchyat Party,26029,34,26063,13.67,2
7,8,Awadh Kishor Ram,Independent,3109,2,3111,1.63,2
8,9,Ayush Kumar,Independent,2670,1,2671,1.4,2
9,10,Ramnaresh Baitha,Independent,2454,6,2460,1.29,2
10,11,Ramayan Paswan,Independent,3791,2,3793,1.99,2
11,12,NOTA,None of the Above,4453,3,4456,2.34,2
0,1,NAUSHAD AHMAD,Lok Jan Shakti Party,5400,8,5408,3.29,3
1,2,MANJEET KUMAR VERMA,Rashtriya Lok Samta Party,2911,2,2913,1.77,3
2,3,MOHAMMAD RASHID AZIM,Nationalist Congress Party,1291,3,1294,0.79,3
3,4,RASHMI VARMA,Bharatiya Janata Party,75345,139,75484,45.85,3
4,5,VINAY VARMA,Indian National Congress,53826,524,54350,33.02,3
5,6,ANUP KUMAR MISHRA,The Plurals Party,958,1,959,0.58,3
6,7,AFSAR IMAM,Jan Adhikar Party (Loktantrik),1250,5,1255,0.76,3
7,8,AVINASH KUMAR,Bhartiya Sablog Party,673,1,674,0.41,3
8,9,GULREZ HODA,"Jan Sangharsh Dal,",1109,4,1113,0.68,3
9,10,MUKESH KUMAR,Bharat Jan Jagran Dal,692,1,693,0.42,3
10,11,MUNNA SINGH,Fauji Kisan Party,948,0,948,0.58,3
11,12,RAMCHANDRA MAHTO,Jai Maha Bharath Party,1147,1,1148,0.7,3
