,Unnamed: 0,osn,candidate,party,evm_votes,postal_votes,total_votes,percentage_votes,contituencty
0,0,Valmikinagar,Dhirendra Pratap Singh alias Rinku singh,Janata Dal (United),74777,Mahnar,74906,38.32,Valmikinagar
1,Valmikinagar,Ramnagar,Baidyanath Prasad,Bahujan Samaj Party,14475,Riga,14498,7.42,Valmikinagar
2,Ramnagar,Narkatiaganj,Mahendra Kumar Bharti,Lok Jan Shakti Party,6602,Raxaul,6612,3.38,Valmikinagar
3,Narkatiaganj,Bagaha,Rajesh Singh,Indian National Congress,52952,369,53321,27.28,Valmikinagar
4,Bagaha,Lauriya,Gaurav Jha,The Plurals Party,2862,Valmikinagar,2863,1.46,Valmikinagar
5,Lauriya,Nautan,Deepak Kumar Malakar,Bhartiya Party (Loktantrik),4279,0,4279,2.19,Valmikinagar
6,Nautan,Chanpatia,Saket Kumar Pathak,"Jan Sangharsh Dal,",2733,Ramnagar,2735,1.4,Valmikinagar
7,Chanpatia,Bettiah,Sumant Kumar,Jan Adhikar Party (Loktantrik),18372,Rajnagar,18409,9.42,Valmikinagar
8,Bettiah,Sikta,Kumari Rajwanti Kushwaha,Independent,1992,Bagaha,1996,1.02,Valmikinagar
9,Sikta,Raxaul,Tirthraj Yadav,Independent,2512,Narkatiaganj,2515,1.29,Valmikinagar
10,Raxaul,Sugauli,Mahmad Jalil,Independent,2655,Ramnagar,2657,1.36,Valmikinagar
11,Sugauli,Narkatia,Rajesh Kumar,Independent,2607,Valmikinagar,2608,1.33,Valmikinagar
12,Narkatia,Harsidhi (S.C),NOTA,None of the Above,8088,Ramnagar,8090,4.14,Valmikinagar
13,0,Valmikinagar,Bhagirathi Devi,Bharatiya Janata Party,75360,Katihar,75423,39.57,Ramnagar
14,Valmikinagar,Ramnagar,Rajesh Ram,Indian National Congress,59273,354,59627,31.28,Ramnagar
15,Ramnagar,Narkatiaganj,Lokesh Ram,Rashtriya Lok Samta Party,4048,Narkatiaganj,4051,2.13,Ramnagar
16,Narkatiaganj,Bagaha,Champa Devi,The Plurals Party,1409,Narkatiaganj,1412,0.74,Ramnagar
17,Bagaha,Lauriya,Lorik Das,Fauji Kisan Party,4329,Ramnagar,4331,2.27,Ramnagar
18,Lauriya,Nautan,Vinay Ram,Janta Dal Rashtravadi,3213,Ramnagar,3215,1.69,Ramnagar
19,Nautan,Chanpatia,Subodh Kumar,Bhartiya Panchyat Party,26029,Babubarhi,26063,13.67,Ramnagar
20,Chanpatia,Bettiah,Awadh Kishor Ram,Independent,3109,Ramnagar,3111,1.63,Ramnagar
21,Bettiah,Sikta,Ayush Kumar,Independent,2670,Valmikinagar,2671,1.4,Ramnagar
22,Sikta,Raxaul,Ramnaresh Baitha,Independent,2454,Nautan,2460,1.29,Ramnagar
23,Raxaul,Sugauli,Ramayan Paswan,Independent,3791,Ramnagar,3793,1.99,Ramnagar
24,Sugauli,Narkatia,NOTA,None of the Above,4453,Narkatiaganj,4456,2.34,Ramnagar
25,0,Valmikinagar,NAUSHAD AHMAD,Lok Jan Shakti Party,5400,Bettiah,5408,3.29,Narkatiaganj
26,Valmikinagar,Ramnagar,MANJEET KUMAR VERMA,Rashtriya Lok Samta Party,2911,Ramnagar,2913,1.77,Narkatiaganj
27,Ramnagar,Narkatiaganj,MOHAMMAD RASHID AZIM,Nationalist Congress Party,1291,Narkatiaganj,1294,0.79,Narkatiaganj
28,Narkatiaganj,Bagaha,RASHMI VARMA,Bharatiya Janata Party,75345,Rosera,75484,45.85,Narkatiaganj
29,Bagaha,Lauriya,VINAY VARMA,Indian National Congress,53826,524,54350,33.02,Narkatiaganj
30,Lauriya,Nautan,ANUP KUMAR MISHRA,The Plurals Party,958,Valmikinagar,959,0.58,Narkatiaganj
31,Nautan,Chanpatia,AFSAR IMAM,Jan Adhikar Party (Loktantrik),1250,Lauriya,1255,0.76,Narkatiaganj
32,Chanpatia,Bettiah,AVINASH KUMAR,Bhartiya Sablog Party,673,Valmikinagar,674,0.41,Narkatiaganj
33,Bettiah,Sikta,GULREZ HODA,"Jan Sangharsh Dal,",1109,Bagaha,1113,0.68,Narkatiaganj
34,Sikta,Raxaul,MUKESH KUMAR,Bharat Jan Jagran Dal,692,Valmikinagar,693,0.42,Narkatiaganj
35,Raxaul,Sugauli,MUNNA SINGH,Fauji Kisan Party,948,0,948,0.58,Narkatiaganj
36,Sugauli,Narkatia,RAMCHANDRA MAHTO,Jai Maha Bharath Party,1147,Valmikinagar,1148,0.7,Narkatiaganj
37,Narkatia,Harsidhi (S.C),VIJAY RAM,Janta Dal Rashtravadi,979,0,979,0.59,Narkatiaganj
38,Harsidhi (S.C),Govindganj,ANIL KUMAR MISHRA,Independent,1420,Sikta,1429,0.87,Narkatiaganj
39,Govindganj,Kesaria,NAZNIM KHANAM,Independent,994,Bagaha,998,0.61,Narkatiaganj
40,Kesaria,Kalyanpur,NATHU RAVI,Independent,2047,Bagaha,2051,1.25,Narkatiaganj
41,Kalyanpur,Pipra,BABLU KUMAR GUPTA,Independent,1805,0,1805,1.1,Narkatiaganj
42,Pipra,Madhuban,MITHLESH TIWARY,Independent,1085,Narkatiaganj,1088,0.66,Narkatiaganj
43,Madhuban,Motihari,RUPN SINGH,Independent,705,0,705,0.43,Narkatiaganj
44,Motihari,Chiraiya,RENU DEVI,Independent,7638,Madhubani,7674,4.66,Narkatiaganj
45,Chiraiya,Dhaka,NOTA,None of the Above,1645,Ramnagar,1647,Valmikinagar,Narkatiaganj
46,0,Valmikinagar,JAYESH MANGLAM SINGH,Indian National Congress,59388,605,59993,Khajauli,Bagaha
47,Valmikinagar,Ramnagar,RAM SINGH,Bharatiya Janata Party,89882,Kalyanpur,90013,49.51,Bagaha
48,Ramnagar,Narkatiaganj,ATUL KUMAR SHUKLA,Lok Shakti Party (Loktantrik),2363,Valmikinagar,2364,1.3,Bagaha
49,Narkatiaganj,Bagaha,UMESH GUPTA,Rashtriya Jansambhavna Party,1621,Valmikinagar,1622,0.89,Bagaha
50,Bagaha,Lauriya,DALSINGAR RAM,Bahujan Maha Party,862,0,862,0.47,Bagaha
51,Lauriya,Nautan,DURGESH SINGH CHAUHAN,Bihar Lok Nirman Dal,1159,Narkatiaganj,1162,0.64,Bagaha
52,Nautan,Chanpatia,PURNMASI RAM,"Jan Sangharsh Dal,",3626,Riga,3649,2.01,Bagaha
53,Chanpatia,Bettiah,MANOJ KUMAR,Bharat Jan Jagran Dal,1446,0,1446,0.8,Bagaha
54,Bettiah,Sikta,RADHESHYAM YADAV,Fauji Kisan Party,1442,Ramnagar,1444,0.79,Bagaha
55,Sikta,Raxaul,SHESH NATH CHAUDHARY,Bhartiya Rashtriya Dal,1404,Ramnagar,1406,0.77,Bagaha
56,Raxaul,Sugauli,SITA SHAH,The Plurals Party,1031,Valmikinagar,1032,0.57,Bagaha
57,Sugauli,Narkatia,SURESH MUKHIYA,Janvadi Party(Socialist),2597,Narkatiaganj,2600,1.43,Bagaha
58,Narkatia,Harsidhi (S.C),KAMRAN AZIZ,Independent,3067,Raxaul,3077,1.69,Bagaha
59,Harsidhi (S.C),Govindganj,MANOJ KUMAR RAO,Independent,1243,Valmikinagar,1244,0.68,Bagaha
60,Govindganj,Kesaria,RAGHAW SHARAN PANDEY,Independent,6381,Forbesganj,6429,3.54,Bagaha
61,Kesaria,Kalyanpur,NOTA,None of the Above,3454,Ramnagar,3456,1.9,Bagaha
62,0,Valmikinagar,Ran Kaushal Pratap Singh,Bahujan Samaj Party,17487,Sitamarhi,17515,11.12,Lauriya
63,Valmikinagar,Ramnagar,Vinay Bihari,Bharatiya Janata Party,77852,Saharsa,77927,49.48,Lauriya
64,Ramnagar,Narkatiaganj,Shambhu Tiwari,Rashtriya Janata Dal,48680,Chakai,48923,31.06,Lauriya
65,Narkatiaganj,Bagaha,Ajitesh Kumar,The Plurals Party,1462,0,1462,0.93,Lauriya
66,Bagaha,Lauriya,Abdul Quyum,"Jan Sangharsh Dal,",1163,Ramnagar,1165,0.74,Lauriya
67,Lauriya,Nautan,Ranjit Kumar,Janta Dal Rashtravadi,1088,0,1088,0.69,Lauriya
68,Nautan,Chanpatia,Sima Devi,Jan Adhikar Party (Loktantrik),1204,Ramnagar,1206,0.77,Lauriya
69,Chanpatia,Bettiah,Kamlesh Singh,Independent,1394,0,1394,0.89,Lauriya
70,Bettiah,Sikta,Doctor Mahto,Independent,1541,0,1541,0.98,Lauriya
71,Sikta,Raxaul,Neelam Singh,Independent,1906,0,1906,1.21,Lauriya
72,Raxaul,Sugauli,NOTA,None of the Above,3367,Valmikinagar,3368,2.14,Lauriya
73,0,Valmikinagar,NANDKISHOR PRASAD,Rashtriya Lok Samta Party,4573,Govindganj,4587,2.74,Nautan
74,Valmikinagar,Ramnagar,NARAYAN PRASAD,Bharatiya Janata Party,78543,Manjhi,78657,46.97,Nautan
75,Ramnagar,Narkatiaganj,SHEIKH MOHAMMAD KAMRAN,Indian National Congress,52437,324,52761,31.51,Nautan
76,Narkatiaganj,Bagaha,JAY PRAKASH SINGH KUSHWAHA,The Plurals Party,1164,Lauriya,1169,0.7,Nautan
77,Bagaha,Lauriya,PUNYADEO PRASAD,Jagrook Janta Party,586,Nautan,592,0.35,Nautan
78,Lauriya,Nautan,YADAVENDRA KUMAR,Jan Adhikar Party (Loktantrik),1101,Ramnagar,1103,0.66,Nautan
79,Nautan,Chanpatia,MD. SHAHNAWAZ,"Jan Sangharsh Dal,",951,Valmikinagar,952,0.57,Nautan
80,Chanpatia,Bettiah,SURENDRA CHOUDHARY,Janta Dal Rashtravadi,537,Valmikinagar,538,0.32,Nautan
81,Bettiah,Sikta,ADARSH KUMAR,Independent,859,Valmikinagar,860,0.51,Nautan
82,Sikta,Raxaul,PRIYA RANJAN,Independent,1088,Valmikinagar,1089,0.65,Nautan
83,Raxaul,Sugauli,MANORAMA PRASAD,Independent,15357,Kadwa,15421,9.21,Nautan
84,Sugauli,Narkatia,RATAN KUMAR SARKAR,Independent,825,Ramnagar,827,0.49,Nautan
85,Narkatia,Harsidhi (S.C),LALAN RAI,Independent,1285,Nautan,1291,0.77,Nautan
86,Harsidhi (S.C),Govindganj,VIKASH KUMAR PRASAD,Independent,3967,0,3967,2.37,Nautan
87,Govindganj,Kesaria,SHUBHAM KUMAR DUBEY,Independent,1823,Valmikinagar,1824,1.09,Nautan
88,Kesaria,Kalyanpur,NOTA,None of the Above,1808,Lauriya,1813,1.08,Nautan
89,0,Valmikinagar,Abhishek Ranjan,Indian National Congress,69940,419,70359,40.03,Chanpatia
90,Valmikinagar,Ramnagar,Umakant Singh,Bharatiya Janata Party,83620,Sasaram,83828,47.69,Chanpatia
91,Ramnagar,Narkatiaganj,Santosh Kumar Gupta,Rashtriya Lok Samta Party,3520,Nautan,3526,2.01,Chanpatia
92,Narkatiaganj,Bagaha,Ravisagar Bharati,Aazad Samaj Party (Kanshi Ram),727,Narkatiaganj,730,0.42,Chanpatia
93,Bagaha,Lauriya,Rajeev Ranjan,The Plurals Party,297,0,297,0.17,Chanpatia
94,Lauriya,Nautan,Bipin Nath Tiwari Alias Bipin Tiwari,Loktantrik Jan Swaraj Party,336,Narkatiaganj,339,0.19,Chanpatia
95,Nautan,Chanpatia,Shekh Firoz,Vanchit Samaj Party,689,Valmikinagar,690,0.39,Chanpatia
96,Chanpatia,Bettiah,Sanjay Ram,Proutist Sarva Samaj,321,Valmikinagar,322,0.18,Chanpatia
97,Bettiah,Sikta,Om Prakash Jaiswal,Independent,344,Ramnagar,346,0.2,Chanpatia
98,Sikta,Raxaul,Tripurari Kr. Tiwari @ Manish kasyap,Independent,9207,Benipatti,9239,5.26,Chanpatia
99,Raxaul,Sugauli,Munna Singh,Independent,873,Ramnagar,875,0.5,Chanpatia
100,Sugauli,Narkatia,Ramayan Yadav,Independent,937,Valmikinagar,938,0.53,Chanpatia
101,Narkatia,Harsidhi (S.C),Sheshnath Bharti,Independent,1374,Valmikinagar,1375,0.78,Chanpatia
102,Harsidhi (S.C),Govindganj,NOTA,None of the Above,2907,Narkatiaganj,2910,1.66,Chanpatia
103,0,Valmikinagar,Parwez Alam,Nationalist Congress Party,1183,Sikta,1192,0.75,Bettiah
104,Valmikinagar,Ramnagar,Madan Mohan Tiwari,Indian National Congress,65864,553,66417,41.53,Bettiah
105,Ramnagar,Narkatiaganj,Renu Devi,Bharatiya Janata Party,84239,257,84496,52.83,Bettiah
106,Narkatiaganj,Bagaha,Avkash Kumar Gupta,The Plurals Party,1556,Narkatiaganj,1559,0.97,Bettiah
107,Bagaha,Lauriya,Nand Lal Prasad,Apna Kisan Party,607,Narkatiaganj,610,0.38,Bettiah
108,Lauriya,Nautan,Barkat Ahmad,"Jan Sangharsh Dal,",421,Bagaha,425,0.27,Bettiah
109,Nautan,Chanpatia,Yuvraj Navin Singh,Bhartiya Panchyat Party,543,Narkatiaganj,546,0.34,Bettiah
110,Chanpatia,Bettiah,Savita Singh Nepali,Jan Adhikar Party (Loktantrik),675,Ramnagar,677,0.42,Bettiah
111,Bettiah,Sikta,Sitaram Sahani,Rashtriya mahan Gantantra Party,1012,0,1012,0.63,Bettiah
112,Sikta,Raxaul,Sameer Hasen,Independent,980,Valmikinagar,981,0.61,Bettiah
113,Raxaul,Sugauli,NOTA,None of the Above,2009,Bettiah,2017,1.26,Bettiah
114,0,Valmikinagar,KHURSHID FIROZ AHMAD,Janata Dal (United),35713,Bahadurpur,35798,21.05,Sikta
115,Valmikinagar,Ramnagar,MAINUDDIN ALAM,Nationalist Congress Party,2018,Lauriya,2023,1.19,Sikta
116,Ramnagar,Narkatiaganj,AKHILESHWAR PRASAD ALIAS JHUNU,Bhartiya Panchyat Party,3306,Nautan,3312,1.95,Sikta
117,Narkatiaganj,Bagaha,AASMA KHATOON,"Jan Sangharsh Dal,",1308,Valmikinagar,1309,0.77,Sikta
118,Bagaha,Lauriya,TAMNNA KHATUN,The Plurals Party,2234,Narkatiaganj,2237,1.32,Sikta
119,Lauriya,Nautan,MALKHAN SINGH,Janata Congress,1612,Valmikinagar,1613,0.95,Sikta
120,Nautan,Chanpatia,RAJESH PASWAN,Peoples Party of India (Democratic),2362,0,2362,1.39,Sikta
121,Chanpatia,Bettiah,RIJABANULLAH ALIAS RIZWAN RIYAZI,All India Majlis-E-Ittehadul Muslimeen,8511,Bettiah,8519,5.01,Sikta
